0.25,0.25
0.5,0.5
0.5,0.5
0.25,0.25
0,0
0.25,0.25
0,0
0.25,0.25
0,0
0.25,0.25
0.25,0
0.25,0.25
0.5,0.5
0,0
0.25,0.5
0,0
0,0
0.5,0.5
0,0
0.25,0.25
0.5,0.5
0,0
0.25,0.25
0.25,0
0,0
0.25,0.25
0.25,0.25
0.25,0.25
0.25,0.5
0,0
0,0
0.25,0.5
0,0
0.25,0.25
NA,NA
0,0
0.25,0.25
0.5,0.5
0.25,0.25
0,0
0,0
0,0
0,0
0.25,0.25
0.5,0.5
0,0
0.25,0.25
0.25,0.25
0.5,0.5
0.25,0.25
0,0
0,0
0.25,0.25
0.25,0.25
NA,NA
0,0
0.5,0.5
0.25,0.25
0,0
0.25,0.25
0,0
0.25,0.25
0.25,0.25
0.5,0.5
0,0
0.25,0.25
0.25,0.25
0,0
0.5,0.5
0.25,0.25
0,0
0.25,0.25
0.25,0
0.5,0.5
0.25,0.25
0,0
0.5,0.5
0.5,0.5
0,0
0.25,0.25
0,0
0.5,0.5
0,0
0,0
0.25,0.25
0.25,0.25
0.25,0.25
0,0
0.25,0.25
0,0
0,0
0,0
0.5,0.5
0.5,0.5
0,0
0.25,0.25
0,0
0,0
0.5,0.5
0.25,0.25
0.25,0.25
0.25,0.25
0,0
0,0
0.5,0.5
0.25,0.25
0.25,0.25
0,0
0.25,0.25
0.25,0.25
0,0
0.5,0.5
0,0
0.25,0.25
0.25,0.25
0.25,0.25
0.25,0.25
0.25,0.25
0,0
0,0
0.25,0.25
0,0
0,0
0.25,0.25
0,0
0.5,0.25
0.25,0.25
0,0
0,0
0.25,0.25
0,0
0.5,0.5
0.5,0.5
0.25,0.25
0,0
0,0
0.5,0.5
0,0
0.25,0.25
0.5,0.25
0.25,0.5
0.25,0.25
0.25,0.25
0.25,0.25
0,0
0.25,0.5
0.25,0.25
0.5,0.5
0,0
0,0
0.197635135135135,0.197635135135135
